kan_neurons,kan_grid,lamb,ACC,Best_Epoch
12,6,0.01,0.8690476417541504,54
12,6,0.001,0.8818681240081787,89
12,6,0.0001,0.7921245694160461,61
12,6,1e-05,0.8159340620040894,99
12,6,1e-06,0.8058608174324036,75
12,6,1e-07,0.8342490792274475,66
12,7,0.1,0.38461539149284363,0
12,7,0.01,0.8617216348648071,62
12,7,0.001,0.8855311274528503,83
12,7,0.0001,0.7902930378913879,81
12,7,1e-05,0.8122710585594177,35
12,7,1e-06,0.8186812996864319,61
12,7,1e-07,0.8278388381004333,43
12,8,0.1,0.38461539149284363,0
12,8,0.01,0.8598901033401489,36
12,8,0.001,0.8699633479118347,75
12,8,0.0001,0.8058608174324036,47
12,8,1e-05,0.8003662824630737,57
12,8,1e-06,0.7967032790184021,43
12,8,1e-07,0.8205128312110901,99
11,3,0.1,0.38461539149284363,0
11,3,0.01,0.8836996555328369,32
11,3,0.001,0.8342490792274475,84
11,3,0.0001,0.8058608174324036,56
11,3,1e-05,0.8122710585594177,60
11,3,1e-06,0.8186812996864319,62
11,3,1e-07,0.7994505763053894,46
11,4,0.1,0.38461539149284363,0
11,4,0.01,0.872710645198822,33
11,4,0.001,0.8305860757827759,67
11,4,0.0001,0.8269230723381042,96
11,4,1e-05,0.8012820482254028,62
11,4,1e-06,0.8131868243217468,71
11,4,1e-07,0.8086080551147461,34
11,5,0.1,0.38461539149284363,0
11,5,0.01,0.8791208863258362,35
11,5,0.001,0.9020146727561951,67
11,5,0.0001,0.8663003444671631,70
11,5,1e-05,0.8525640964508057,28
11,5,1e-06,0.8589743375778198,45
11,5,1e-07,0.8470696210861206,44
11,6,0.1,0.38461539149284363,0
11,6,0.01,0.8956043720245361,42
11,6,0.001,0.8699633479118347,93
11,6,0.0001,0.8305860757827759,94
11,6,1e-05,0.7957875728607178,70
11,6,1e-06,0.8177655935287476,30
11,6,1e-07,0.791208803653717,60
11,7,0.1,0.38461539149284363,0
11,7,0.01,0.8736263513565063,47
11,7,0.001,0.8360806107521057,99
11,7,0.0001,0.8260073065757751,38
11,7,1e-05,0.8131868243217468,53
11,7,1e-06,0.8232600688934326,65
11,7,1e-07,0.8104395866394043,47
11,8,0.1,0.38461539149284363,0
11,8,0.01,0.8882783651351929,68
11,8,0.001,0.8562270998954773,46
11,8,0.0001,0.7838827967643738,28
11,8,1e-05,0.7967032790184021,70
11,8,1e-06,0.7957875728607178,34
11,8,1e-07,0.7976190447807312,55
10,3,0.1,0.38461539149284363,0
10,3,0.01,0.8791208863258362,45
10,3,0.001,0.8626373410224915,62
10,3,0.0001,0.8104395866394043,52
10,3,1e-05,0.7994505763053894,40
10,3,1e-06,0.8260073065757751,72
10,3,1e-07,0.7884615659713745,29
10,4,0.1,0.38461539149284363,0
10,4,0.01,0.8553113341331482,46
10,4,0.001,0.819597065448761,25
10,4,0.0001,0.7857142686843872,55
10,4,1e-05,0.7957875728607178,63
10,4,1e-06,0.8131868243217468,56
10,4,1e-07,0.8104395866394043,58
10,5,0.1,0.38461539149284363,0
10,5,0.01,0.8782051205635071,31
10,5,0.001,0.8498168587684631,70
10,5,0.0001,0.778388261795044,53
10,5,1e-05,0.7884615659713745,56
10,5,1e-06,0.7811355590820312,65
10,5,1e-07,0.791208803653717,34
10,6,0.1,0.38461539149284363,0
10,6,0.01,0.8644688725471497,26
10,6,0.001,0.8690476417541504,58
10,6,0.0001,0.8241758346557617,76
10,6,1e-05,0.7902930378913879,27
10,6,1e-06,0.8104395866394043,96
10,6,1e-07,0.7967032790184021,58
10,7,0.1,0.38461539149284363,0
10,7,0.01,0.8562270998954773,40
10,7,0.001,0.8782051205635071,61
10,7,0.0001,0.8168498277664185,73
10,7,1e-05,0.803113579750061,78
10,7,1e-06,0.8131868243217468,77
10,7,1e-07,0.8214285969734192,44
