kan_neurons,kan_grid,lamb,alpha,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
3,7,1e-06,0.9,0.7166212201118469,"[[131  52]
 [ 52 132]]",6,0.0028570955619215965,0.9971429109573364,,
3,7,1e-06,0.8,0.7465940117835999,"[[131  52]
 [ 41 143]]",3,0.0038785573560744524,0.9961214065551758,,
3,7,1e-06,0.75,0.7084468603134155,"[[132  51]
 [ 56 128]]",15,0.0033826082944869995,0.9966173768043518,,
3,7,1e-06,0.7,0.7220708131790161,"[[139  44]
 [ 58 126]]",10,0.0037907075602561235,0.9962093234062195,,
3,7,1e-06,0.6,0.7329699993133545,"[[136  47]
 [ 51 133]]",13,0.0030545482877641916,0.9969454407691956,,
3,7,1e-06,0.5,0.7329699993133545,"[[140  43]
 [ 55 129]]",10,0.004229600541293621,0.9957703948020935,,
3,7,1e-06,0.4,0.7247956395149231,"[[139  44]
 [ 57 127]]",11,0.004391535185277462,0.9956084489822388,,
3,7,1e-06,0.3,0.7329699993133545,"[[135  48]
 [ 50 134]]",10,0.0026642128359526396,0.9973358511924744,,
3,7,1e-06,0.25,0.7275204062461853,"[[136  47]
 [ 53 131]]",5,0.004968712572008371,0.9950312972068787,,
3,7,1e-06,0.2,0.7275204062461853,"[[135  48]
 [ 52 132]]",9,0.004428571555763483,0.9955714344978333,,
3,7,1e-06,0.1,0.7193460464477539,"[[130  53]
 [ 50 134]]",3,0.006681147497147322,0.9933188557624817,,
3,7,1e-06,0.05,0.7084468603134155,"[[129  54]
 [ 53 131]]",4,0.015559242106974125,0.984440803527832,,
3,7,1e-06,0.01,0.7084468603134155,"[[128  55]
 [ 52 132]]",7,0.016861723735928535,0.9831383228302002,,
5,7,0.0001,0.9,0.7193460464477539,"[[128  55]
 [ 48 136]]",4,0.02616802416741848,0.9738320112228394,,
5,7,0.0001,0.8,0.7220708131790161,"[[134  49]
 [ 53 131]]",5,0.024560267105698586,0.975439727306366,,
5,7,0.0001,0.75,0.7193460464477539,"[[134  49]
 [ 54 130]]",7,0.023169035091996193,0.9768310189247131,,
5,7,0.0001,0.7,0.7302452325820923,"[[134  49]
 [ 50 134]]",13,0.013785677962005138,0.9862143397331238,,
5,7,0.0001,0.6,0.6730245351791382,"[[122  61]
 [ 59 125]]",0,0.015616129152476788,0.9843838810920715,,
5,7,0.0001,0.5,0.7275204062461853,"[[134  49]
 [ 51 133]]",12,0.01643439754843712,0.983565628528595,,
5,7,0.0001,0.4,0.7166212201118469,"[[134  49]
 [ 55 129]]",13,0.017110655084252357,0.9828892946243286,,
5,7,0.0001,0.3,0.7302452325820923,"[[140  43]
 [ 56 128]]",17,0.014410637319087982,0.985589325428009,,
5,7,0.0001,0.25,0.7329699993133545,"[[137  46]
 [ 52 132]]",9,0.01994229108095169,0.9800577163696289,,
5,7,0.0001,0.2,0.7275204062461853,"[[139  44]
 [ 56 128]]",8,0.02600492164492607,0.9739950895309448,,
5,7,0.0001,0.1,0.692098081111908,"[[122  61]
 [ 52 132]]",1,0.056611061096191406,0.9433889389038086,,
5,7,0.0001,0.05,0.6948229074478149,"[[125  58]
 [ 54 130]]",1,0.06172552704811096,0.9382745027542114,,
5,7,0.0001,0.01,0.7029972672462463,"[[129  54]
 [ 55 129]]",13,0.03647363558411598,0.9635263681411743,,
