kan_neurons,kan_grid,lamb,alpha,ACC,Conf_Mtx,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
6,7,1e-05,0.4,0.9166666865348816,"[[404  32   4   1]
 [ 15 399   4   2]
 [  0   8  56   2]
 [  1   7  15 142]]",26,0.1623051017522812,0.8376948833465576,,
6,7,1e-05,0.3,0.9276556968688965,"[[410  26   4   1]
 [ 11 402   5   2]
 [  0   6  59   1]
 [  1   4  18 142]]",18,0.15240374207496643,0.8475962281227112,,
6,7,1e-05,0.25,0.918498158454895,"[[407  29   4   1]
 [ 18 397   4   1]
 [  1   5  59   1]
 [  1   4  20 140]]",12,0.2160332202911377,0.7839667797088623,,
6,7,1e-05,0.2,0.8965201377868652,"[[400  37   3   1]
 [ 20 387  10   3]
 [  1   8  56   1]
 [  1   5  23 136]]",9,0.25757014751434326,0.7424298524856567,,
6,7,1e-05,0.1,0.9175823926925659,"[[399  35   6   1]
 [  6 406   6   2]
 [  2   6  56   2]
 [  1   7  16 141]]",20,0.19556722044944763,0.80443274974823,,
6,7,1e-05,0.05,0.8525640964508057,"[[390  42   9   0]
 [ 32 368  20   0]
 [  0  13  50   3]
 [  0   4  38 123]]",12,0.19400550425052643,0.8059945106506348,,
6,7,1e-05,0.01,0.8516483306884766,"[[388  44   9   0]
 [ 33 362  24   1]
 [  1   6  54   5]
 [  1   5  33 126]]",48,0.07183725386857986,0.9281627535820007,,
8,8,0.001,0.9,0.9212453961372375,"[[416  22   3   0]
 [ 20 389  11   0]
 [  0   9  55   2]
 [  0   4  15 146]]",43,0.9833136796951294,0.016686318442225456,,
8,8,0.001,0.8,0.9212453961372375,"[[399  39   2   1]
 [  9 407   3   1]
 [  0   8  52   6]
 [  1   3  13 148]]",24,0.9656036496162415,0.03439629077911377,,
8,8,0.001,0.75,0.9368131756782532,"[[417  19   5   0]
 [ 13 400   7   0]
 [  1   4  58   3]
 [  1   1  15 148]]",34,0.9445061087608337,0.05549389496445656,,
8,8,0.001,0.7,0.9175823926925659,"[[409  26   4   2]
 [ 14 402   2   2]
 [  0   8  58   0]
 [  0  10  22 133]]",27,0.9642212986946106,0.03577870875597,,
8,8,0.001,0.6,0.9175823926925659,"[[406  29   5   1]
 [ 18 397   4   1]
 [  1   9  49   7]
 [  1   2  12 150]]",25,0.9729676842689514,0.027032343670725822,,
8,8,0.001,0.5,0.9111721515655518,"[[416  22   2   1]
 [ 30 375  15   0]
 [  1   6  59   0]
 [  1   3  16 145]]",17,0.9718875885009766,0.028112439438700676,,
