kan_neurons,kan_grid,lamb,alpha,RMSE,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
7,4,1e-06,0.8,0.23114223778247833,64,0.23141111433506012,0.7685889005661011,,
7,4,1e-06,0.75,0.22046132385730743,75,0.22686591744422913,0.7731341123580933,,
7,4,1e-06,0.7,0.210239976644516,21,0.35181888937950134,0.648181140422821,,
7,4,1e-06,0.6,0.23513668775558472,29,0.3373916745185852,0.6626083254814148,,
7,4,1e-06,0.5,0.23186317086219788,26,0.2782742381095886,0.7217257022857666,,
7,4,1e-06,0.4,0.21698898077011108,19,0.346733957529068,0.6532660722732544,,
7,4,1e-06,0.3,0.21819384396076202,19,0.36564555764198303,0.6343544721603394,,
7,4,1e-06,0.2,0.21522146463394165,18,0.4378657341003418,0.562134325504303,,
7,4,1e-06,0.1,0.24785193800926208,54,0.30173856019973755,0.6982613801956177,,
7,4,1e-06,0.05,0.36765262484550476,79,0.022727815434336662,0.9772722125053406,,
7,4,1e-06,0.01,0.32565781474113464,32,0.0328526496887207,0.9671473503112793,,
2,4,1e-05,0.9,0.22537410259246826,19,0.25764113664627075,0.742358922958374,,
2,4,1e-05,0.8,0.20940949022769928,45,0.31010568141937256,0.6898943185806274,,
2,4,1e-05,0.75,0.2207457423210144,38,0.3666191101074219,0.6333808898925781,,
2,4,1e-05,0.7,0.2803708612918854,39,0.3327833414077759,0.6672166585922241,,
2,4,1e-05,0.6,0.20432224869728088,38,0.2730218172073364,0.7269781827926636,,
2,4,1e-05,0.5,0.23288296163082123,19,0.4321686923503876,0.56783127784729,,
2,4,1e-05,0.4,0.2170293927192688,14,0.44309812784194946,0.5569018721580505,,
2,4,1e-05,0.3,0.25008928775787354,58,0.2558738887310028,0.7441260814666748,,
2,4,1e-05,0.2,0.21659359335899353,23,0.44360989332199097,0.556390106678009,,
2,4,1e-05,0.1,0.24036602675914764,32,0.2546556890010834,0.745344340801239,,
2,4,1e-05,0.05,0.42508015036582947,59,0.005752035416662693,0.9942479729652405,,
2,4,1e-05,0.01,0.45645856857299805,54,0.002599867293611169,0.997400164604187,,
3,5,0.0001,0.9,0.22090674936771393,50,0.3235056400299072,0.6764943599700928,,
3,5,0.0001,0.8,0.23001913726329803,31,0.3169003427028656,0.683099627494812,,
3,5,0.0001,0.75,0.26542967557907104,59,0.46289029717445374,0.5371097326278687,,
3,5,0.0001,0.7,0.22924314439296722,59,0.34413668513298035,0.655863344669342,,
3,5,0.0001,0.6,0.21694064140319824,27,0.533139705657959,0.466860294342041,,
3,5,0.0001,0.5,0.23260025680065155,55,0.425215482711792,0.5747844576835632,,
3,5,0.0001,0.4,0.21416176855564117,31,0.4216058552265167,0.5783941149711609,,
3,5,0.0001,0.3,0.22581280767917633,59,0.37173372507095337,0.6282662749290466,,
3,5,0.0001,0.2,0.2244260609149933,52,0.39280036091804504,0.6071995496749878,,
3,5,0.0001,0.1,0.24258938431739807,52,0.5470938086509705,0.45290616154670715,,
3,5,0.0001,0.05,0.34211674332618713,58,0.482811838388443,0.5171881318092346,,
3,5,0.0001,0.01,0.30908817052841187,58,0.0466797761619091,0.9533202052116394,,
