kan_neurons,kan_grid,lamb,ACC,Best_Epoch
4,3,0.001,0.7138964533805847,28
4,3,0.0001,0.692098081111908,17
4,3,1e-05,0.7084468603134155,13
4,3,1e-06,0.7084468603134155,19
4,3,1e-07,0.7057220339775085,34
4,4,0.1,0.47138965129852295,6
4,4,0.01,0.5940054655075073,9
4,4,0.001,0.7057220339775085,35
4,4,0.0001,0.7166212201118469,34
4,4,1e-05,0.7002724409103394,9
4,4,1e-06,0.6975476741790771,9
4,4,1e-07,0.6839237213134766,11
4,5,0.1,0.4986375868320465,3
4,5,0.01,0.5994550585746765,11
4,5,0.001,0.7002724409103394,34
4,5,0.0001,0.7111716270446777,13
4,5,1e-05,0.6948229074478149,49
4,5,1e-06,0.7220708131790161,10
4,5,1e-07,0.7057220339775085,10
4,6,0.1,0.553133487701416,29
4,6,0.01,0.6049046516418457,21
4,6,0.001,0.7002724409103394,14
4,6,0.0001,0.7138964533805847,15
4,6,1e-05,0.7057220339775085,12
4,6,1e-06,0.6866484880447388,11
4,6,1e-07,0.7084468603134155,15
4,7,0.1,0.5395095348358154,17
4,7,0.01,0.5885558724403381,15
4,7,0.001,0.6866484880447388,13
4,7,0.0001,0.7002724409103394,21
4,7,1e-05,0.7166212201118469,19
4,7,1e-06,0.6975476741790771,32
4,7,1e-07,0.7111716270446777,15
4,8,0.1,0.5340599417686462,6
4,8,0.01,0.5667575001716614,10
4,8,0.001,0.7084468603134155,13
4,8,0.0001,0.7029972672462463,21
4,8,1e-05,0.7029972672462463,19
4,8,1e-06,0.7084468603134155,10
4,8,1e-07,0.7057220339775085,16
5,3,0.1,0.4931879937648773,49
5,3,0.01,0.553133487701416,2
5,3,0.001,0.7166212201118469,39
5,3,0.0001,0.7138964533805847,23
5,3,1e-05,0.7247956395149231,14
5,3,1e-06,0.7057220339775085,7
5,3,1e-07,0.7029972672462463,7
5,4,0.1,0.48501360416412354,6
5,4,0.01,0.6049046516418457,10
5,4,0.001,0.6893733143806458,7
5,4,0.0001,0.6811988949775696,9
5,4,1e-05,0.7138964533805847,14
5,4,1e-06,0.6893733143806458,7
5,4,1e-07,0.7084468603134155,12
5,5,0.1,0.5640326738357544,24
5,5,0.01,0.5858310461044312,13
5,5,0.001,0.6975476741790771,15
5,5,0.0001,0.7111716270446777,11
5,5,1e-05,0.6730245351791382,6
5,5,1e-06,0.6948229074478149,20
5,5,1e-07,0.7002724409103394,11
5,6,0.1,0.5640326738357544,28
5,6,0.01,0.6485013365745544,17
5,6,0.001,0.6893733143806458,11
5,6,0.0001,0.6893733143806458,11
5,6,1e-05,0.7138964533805847,49
5,6,1e-06,0.7302452325820923,39
5,6,1e-07,0.7220708131790161,31
5,7,0.1,0.5749318599700928,29
5,7,0.01,0.6021798253059387,15
5,7,0.001,0.6948229074478149,17
5,7,0.0001,0.7002724409103394,35
5,7,1e-05,0.7247956395149231,18
5,7,1e-06,0.7029972672462463,13
5,7,1e-07,0.7029972672462463,17
5,8,0.1,0.5504087209701538,30
5,8,0.01,0.6348773837089539,21
5,8,0.001,0.692098081111908,13
5,8,0.0001,0.7084468603134155,20
5,8,1e-05,0.7111716270446777,12
5,8,1e-06,0.7166212201118469,17
5,8,1e-07,0.7057220339775085,16
