kan_neurons,kan_grid,lamb,cnn_bottleneck_dim,ACC,Best_Epoch,KAN_Relevance,CNN_Relevance,KAN M.R.F.,CNN M.R.F.
6,7,1.00E-05,9,0.262649268,66,0.214255258,0.785744727,"federalFunds: 0.36
tradeCurrencies: 0.26
3M-Rate-SecondaryMarket: 0.25","loansLeases: 0.22
checkableDeposits: 0.04
savingsDeposits: 0.04"
6,7,1.00E-05,9,0.262649268,66,0.214255258,0.785744727,"federalFunds: 0.36
tradeCurrencies: 0.26
3M-Rate-SecondaryMarket: 0.25","loansLeases: 0.22
checkableDeposits: 0.04
savingsDeposits: 0.04"
6,7,1.00E-05,12,0.220028281,39,0.112987064,0.887012899,"loansLeases: 0.34
checkableDeposits: 0.30
bankCredit: 0.29","checkableDeposits: 0.24
3M-Rate-SecondaryMarket: 0.20
currency: 0.13"
6,7,1.00E-05,12,0.220028281,39,0.112987064,0.887012899,"loansLeases: 0.34
checkableDeposits: 0.30
bankCredit: 0.29","checkableDeposits: 0.24
3M-Rate-SecondaryMarket: 0.20
currency: 0.13"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
